model_class,minimum_regime_duration,ar_order,break_onset_indices_1based,term,estimate,standard_error_conditional,t_statistic_conditional,degrees_freedom,p_two_sided_conditional,ci_lower_conditional,ci_upper_conditional
break_plus_trend,4,2,7|14|19,intercept,27.93833220647232,1.5219339872246616,18.357124843121188,27,8.842628058221541e-17,24.81558160741625,31.061082805528393
break_plus_trend,4,2,7|14|19,time,-0.0186868950314489,0.0944437067199528,-0.1978627870553604,27,0.8446345792585106,-0.2124693745689621,0.1750955845060642
break_plus_trend,4,2,7|14|19,shift_at_7,9.196365342188653,1.1907747373851796,7.723010115568069,27,2.634231360208176e-08,6.753097397767946,11.63963328660936
break_plus_trend,4,2,7|14|19,shift_at_14,-8.427744546683304,1.170928909042467,-7.197486099796728,27,9.679435917151696e-08,-10.830292214885604,-6.025196878481004
break_plus_trend,4,2,7|14|19,shift_at_19,11.367709126155,1.3615116419776894,8.349329359859619,27,5.8500840337350944e-09,8.574117990601998,14.161300261708
trend_only,5,0,,intercept,35.456287746692226,1.0187850040747928,34.8025222248847,32,5.2596280704441166e-27,33.38109060207515,37.531484891309304
trend_only,5,0,,time,0.3762788282562575,0.1038443233335676,3.623489625403775,32,0.0009953966297759,0.1647548635290617,0.5878027929834533
break_only,5,2,7|14|19,intercept,28.20200642043469,0.7306073952385826,38.60076780529331,28,7.954002593309418e-26,26.705425014179557,29.69858782668982
break_only,5,2,7|14|19,shift_at_7,9.0715128409431,1.0082152754483775,8.997595118670246,28,9.392073078285528e-10,7.006277470247584,11.136748211638617
break_only,5,2,7|14|19,shift_at_14,-8.530657605433621,1.0489850342518057,-8.132296769627565,28,7.463622458079347e-09,-10.67940604123135,-6.381909169635893
break_only,5,2,7|14|19,shift_at_19,11.165635608297812,0.9011631494973952,12.390248774070722,28,6.975703635080512e-13,9.319686576944653,13.011584639650971
break_plus_trend,5,2,7|14|19,intercept,27.93833220647232,1.5219339872246616,18.357124843121188,27,8.842628058221541e-17,24.81558160741625,31.061082805528393
break_plus_trend,5,2,7|14|19,time,-0.0186868950314489,0.0944437067199528,-0.1978627870553604,27,0.8446345792585106,-0.2124693745689621,0.1750955845060642
break_plus_trend,5,2,7|14|19,shift_at_7,9.196365342188653,1.1907747373851796,7.723010115568069,27,2.634231360208176e-08,6.753097397767946,11.63963328660936
break_plus_trend,5,2,7|14|19,shift_at_14,-8.427744546683304,1.170928909042467,-7.197486099796728,27,9.679435917151696e-08,-10.830292214885604,-6.025196878481004
break_plus_trend,5,2,7|14|19,shift_at_19,11.367709126155,1.3615116419776894,8.349329359859619,27,5.8500840337350944e-09,8.574117990601998,14.161300261708
trend_only,6,0,,intercept,35.456287746692226,1.0187850040747928,34.8025222248847,32,5.2596280704441166e-27,33.38109060207515,37.531484891309304
trend_only,6,0,,time,0.3762788282562575,0.1038443233335676,3.623489625403775,32,0.0009953966297759,0.1647548635290617,0.5878027929834533
break_only,6,2,7|13|19,intercept,28.104975368333957,0.8347970259298279,33.66683696199036,28,3.385326723639186e-24,26.394971178469863,29.814979558198047
break_only,6,2,7|13|19,shift_at_7,9.66725064094641,1.207492184957117,8.006056487470959,28,1.0182269168157776e-08,7.193815025618308,12.140686256274511
break_only,6,2,7|13|19,shift_at_13,-7.981343435942642,1.1875554489491136,-6.7208174936214204,28,2.693074562433774e-07,-10.413940498847865,-5.54874637303742
break_only,6,2,7|13|19,shift_at_19,10.081014189807178,0.9524971893125136,10.583773162714923,28,2.710789255125747e-11,8.129912144679528,12.032116234934827
break_plus_trend,6,2,7|13|19,intercept,27.697869556542372,1.752229705285021,15.807213787667743,27,3.594535037551194e-15,24.102591175355315,31.29314793772943
break_plus_trend,6,2,7|13|19,time,-0.028900241168153,0.1090977938781133,-0.2649021592539362,27,0.7930967327175965,-0.2527504239279419,0.1949499415916357
break_plus_trend,6,2,7|13|19,shift_at_7,9.843595626069224,1.3806276896880934,7.129797337537866,27,1.1474327023618713e-07,7.010781600469523,12.676409651668925
break_plus_trend,6,2,7|13|19,shift_at_13,-7.81889735382244,1.3381351497324772,-5.843129788037936,27,3.201837450794589e-06,-10.56452388921845,-5.073270818426431
break_plus_trend,6,2,7|13|19,shift_at_19,10.406984564848525,1.5550695033195554,6.692295452153796,27,3.4902996395639265e-07,7.216245502689622,13.597723627007424
